"","DEPARTAMENTO","CAPITAL","geometry","lat","lng"
"1","AMAZONAS","CHACHAPOYAS",c(-78.0550902289585, -5.06928708590814),-5.06928708590814,-78.0550902289585
"2","ANCASH","HUARAZ",c(-77.6703461288168, -9.40614479445006),-9.40614479445006,-77.6703461288168
"3","APURIMAC","ABANCAY",c(-72.9756247853567, -14.0279585319474),-14.0279585319474,-72.9756247853567
"4","AREQUIPA","AREQUIPA",c(-72.4775916237805, -15.8435255966152),-15.8435255966152,-72.4775916237805
"5","AYACUCHO","AYACUCHO",c(-74.0841748972459, -14.0859736479585),-14.0859736479585,-74.0841748972459
"6","CAJAMARCA","CAJAMARCA",c(-78.745977911464, -6.4319838068387),-6.4319838068387,-78.745977911464
"7","CALLAO","CALLAO",c(-77.1258594420188, -11.9403094153438),-11.9403094153438,-77.1258594420188
"8","CUSCO","CUSCO",c(-72.1735511442272, -13.1853376394682),-13.1853376394682,-72.1735511442272
"9","HUANCAVELICA","HUANCAVELICA",c(-75.0022478043024, -13.0234937280495),-13.0234937280495,-75.0022478043024
"10","HUANUCO","HUANUCO",c(-76.0256080056107, -9.41612093547807),-9.41612093547807,-76.0256080056107
"11","ICA","ICA",c(-75.5749952496356, -14.2331838300841),-14.2331838300841,-75.5749952496356
"12","JUNIN","HUANCAYO",c(-74.8793525548086, -11.5386943422473),-11.5386943422473,-74.8793525548086
"13","LA LIBERTAD","TRUJILLO",c(-78.3686877891284, -7.92154991029598),-7.92154991029598,-78.3686877891284
"14","LAMBAYEQUE","CHICLAYO",c(-79.8270156698584, -6.34042216799844),-6.34042216799844,-79.8270156698584
"15","LIMA","LIMA",c(-76.6293818307353, -11.7839926323995),-11.7839926323995,-76.6293818307353
"16","LORETO","IQUITOS",c(-74.4248549454407, -4.1178356593928),-4.1178356593928,-74.4248549454407
"17","MADRE DE DIOS","PUERTO MALDONADO",c(-70.5359546666348, -11.9805860962616),-11.9805860962616,-70.5359546666348
"18","MOQUEGUA","MOQUEGUA",c(-70.8376921283975, -16.8591476689881),-16.8591476689881,-70.8376921283975
"19","PASCO","CERRO DE PASCO",c(-75.299242690994, -10.399251535664),-10.399251535664,-75.299242690994
"20","PIURA","PIURA",c(-80.3360341503399, -5.1277789563493),-5.1277789563493,-80.3360341503399
"21","PUNO","PUNO",c(-69.9505691659109, -14.924239589097),-14.924239589097,-69.9505691659109
"22","SAN MARTIN","MOYOBAMBA",c(-76.7152535373534, -7.03316951686487),-7.03316951686487,-76.7152535373534
"23","TACNA","TACNA",c(-70.2767974001736, -17.6443461037712),-17.6443461037712,-70.2767974001736
"24","TUMBES","TUMBES",c(-80.5445208673405, -3.85633376054553),-3.85633376054553,-80.5445208673405
"25","UCAYALI","PUCALLPA",c(-73.4374335551566, -9.61908547787409),-9.61908547787409,-73.4374335551566
